Y,X1,X2
-964,-104,-860
-1117,-982,-135
-287,-130,-157
-1091,-624,-467
-1011,-87,-924
-739,-415,-324
-898,-39,-859
-916,-915,-1
-1215,-959,-256
-1183,-770,-413
-1355,-740,-615
-1017,-951,-66
-961,-845,-116
-1632,-795,-837
-1939,-954,-985
-1168,-542,-626
-1280,-622,-658
-980,-838,-142
-891,-646,-245
-1167,-499,-668
-506,-44,-462
-1338,-401,-937
-1103,-302,-801
-1073,-997,-76
-1241,-931,-310
-696,-478,-218
-530,-434,-96
-1372,-531,-841
-928,-488,-440
-413,-201,-212
-1661,-802,-859
-612,-594,-18
-1167,-479,-688
-1300,-852,-448
-1185,-431,-754
-818,-733,-85
-1494,-832,-662
-816,-505,-311
-1024,-709,-315
-1910,-939,-971
-981,-506,-475
-354,-237,-117
-1348,-632,-716
-976,-322,-654
-906,-161,-745
-985,-658,-327
-558,-165,-393
-848,-452,-396
-648,-646,-2
-645,-189,-456
-1522,-530,-992
-652,-473,-179
-404,-43,-361
-1442,-691,-751
-657,-99,-558
-1043,-56,-987
-954,-801,-153
-1347,-990,-357
-1116,-477,-639
-1154,-867,-287
-953,-544,-409
-938,-195,-743
-1135,-704,-431
-390,-246,-144
-26,-9,-17
-1275,-713,-562
-574,-390,-184
-833,-749,-84
-1780,-798,-982
-1274,-679,-595
-776,-324,-452
-1006,-797,-209
-1149,-850,-299
-987,-226,-761
-654,-242,-412
-230,-47,-183
-1074,-532,-542
-439,-19,-420
-657,-356,-301
-1714,-743,-971
-1061,-316,-745
-1494,-836,-658
-374,-221,-153
-1004,-943,-61
-1168,-911,-257
-1161,-593,-568
-1082,-816,-266
-1160,-468,-692
-1195,-959,-236
-788,-712,-76
-1445,-661,-784
-593,-485,-108
-212,-79,-133
-1151,-874,-277
-948,-578,-370
-1029,-866,-163
-810,-706,-104
-1183,-576,-607
-841,-757,-84
-1328,-576,-752
-945,-365,-580
-807,-210,-597
-79,-59,-20
-1203,-245,-958
-197,-35,-162
-1175,-225,-950
-865,-228,-637
-787,-679,-108
-218,-129,-89
-1067,-279,-788
-1129,-840,-289
-1137,-872,-265
-1133,-868,-265
-1494,-836,-658
-449,-13,-436
-551,-266,-285
-519,-380,-139
-269,-57,-212
-503,-36,-467
-1241,-802,-439
-1682,-806,-876
-1348,-360,-988
-957,-738,-219
-1266,-653,-613
-902,-466,-436
-1473,-584,-889
-734,-175,-559
-715,-125,-590
-1793,-809,-984
-507,-217,-290
-737,-567,-170
-374,-49,-325
-534,-185,-349
-503,-121,-382
-979,-536,-443
-1430,-652,-778
-895,-463,-432
-1166,-338,-828
-1066,-76,-990
-670,-604,-66
-1594,-808,-786
-1749,-777,-972
-759,-593,-166
-1089,-628,-461
-1257,-928,-329
-448,-383,-65
-1182,-610,-572
-1016,-580,-436
-1434,-834,-600
-859,-277,-582
-660,-616,-44
-1379,-965,-414
-488,-309,-179
-939,-368,-571
-753,-147,-606
-1090,-890,-200
-806,-218,-588
-800,-782,-18
-1380,-714,-666
-395,-383,-12
-169,-71,-98
-793,-388,-405
-846,-450,-396
-956,-722,-234
-929,-828,-101
-1182,-816,-366
-1644,-683,-961
-1318,-337,-981
-1447,-598,-849
-718,-245,-473
-1722,-962,-760
-1120,-204,-916
-1319,-452,-867
-318,-312,-6
-1070,-181,-889
-1317,-722,-595
-1706,-899,-807
-618,-434,-184
-1012,-422,-590
-1228,-920,-308
-809,-438,-371
-1029,-708,-321
-899,-463,-436
-628,-28,-600
-1285,-388,-897
-1095,-663,-432
-1053,-826,-227
-1455,-695,-760
-1415,-743,-672
-765,-87,-678
-450,-409,-41
-39,-39,0
-1400,-875,-525
-1087,-238,-849
-449,-410,-39
-828,-96,-732
-617,-219,-398
-725,-691,-34
-860,-585,-275
-816,-229,-587
-748,-683,-65
-890,-85,-805
-1911,-917,-994
-396,-102,-294
-878,-65,-813
-662,-302,-360
-643,-508,-135
-1036,-123,-913
-627,-591,-36
-1313,-810,-503
-471,-354,-117
-1720,-786,-934
-1427,-482,-945
-1088,-424,-664
-733,-691,-42
-1007,-29,-978
-1006,-998,-8
-1575,-756,-819
-1255,-301,-954
-955,-295,-660
-745,-550,-195
-1191,-588,-603
-1473,-998,-475
-1026,-860,-166
-1105,-959,-146
-676,-133,-543
-1353,-623,-730
-702,-128,-574
-684,-35,-649
-988,-185,-803
-855,-177,-678
-185,-5,-180
-1360,-848,-512
-1651,-895,-756
-1043,-637,-406
-547,-290,-257
-997,-25,-972
-652,-335,-317
-1713,-748,-965
-970,-308,-662
-1140,-960,-180
-939,-52,-887
-451,-404,-47
-698,-6,-692
-688,-106,-582
-1614,-681,-933
-1212,-530,-682
-916,-715,-201
-782,-612,-170
-1005,-291,-714
-405,-60,-345
-1157,-547,-610
-432,-381,-51
-1780,-836,-944
-1674,-945,-729
1130,477,653
921,311,610
1314,907,407
806,601,205
1581,917,664
876,35,841
1098,839,259
1396,639,757
1505,752,753
1498,616,882
1375,539,836
1431,573,858
1164,704,460
709,148,561
915,200,715
615,285,330
1284,288,996
310,87,223
1747,822,925
1257,612,645
1818,861,957
921,352,569
1246,381,865
1011,979,32
607,10,597
986,169,817
1600,800,800
557,333,224
1813,947,866
976,591,385
1009,309,700
1111,539,572
453,175,278
924,688,236
1745,852,893
1311,756,555
1366,957,409
479,344,135
1469,763,706
773,289,484
806,626,180
1044,960,84
1340,583,757
630,407,223
493,122,371
1572,862,710
1039,109,930
575,150,425
681,245,436
1689,904,785
378,222,156
998,797,201
1067,901,166
1256,776,480
785,728,57
124,54,70
962,736,226
1152,541,611
1862,884,978
1946,980,966
1561,688,873
1331,616,715
1502,607,895
117,44,73
1405,718,687
1496,608,888
717,82,635
691,672,19
1587,620,967
72,20,52
880,299,581
823,467,356
788,494,294
870,639,231
1108,270,838
566,427,139
830,327,503
467,294,173
1009,525,484
1247,932,315
1399,985,414
538,173,365
984,406,578
1956,966,990
1222,567,655
487,315,172
1046,648,398
1206,357,849
858,627,231
1364,614,750
607,560,47
862,165,697
1057,410,647
507,444,63
1308,543,765
418,354,64
1056,932,124
339,241,98
285,80,205
929,142,787
1723,975,748
701,660,41
1415,529,886
1284,866,418
1283,487,796
1111,374,737
1388,859,529
1189,575,614
1153,403,750
847,250,597
771,498,273
748,649,99
1131,195,936
1092,559,533
686,188,498
145,95,50
456,183,273
804,505,299
990,161,829
604,265,339
1672,977,695
1462,710,752
598,456,142
964,777,187
589,45,544
1162,881,281
1080,768,312
1277,502,775
863,642,221
1437,545,892
1260,353,907
1335,862,473
367,302,65
1388,624,764
890,271,619
1189,272,917
1210,472,738
624,319,305
731,136,595
1181,589,592
575,307,268
487,129,358
1051,208,843
1249,490,759
1000,877,123
1286,723,563
1022,22,1000
617,547,70
1112,472,640
1635,913,722
926,828,98
1885,957,928
1229,257,972
1767,831,936
845,413,432
1037,915,122
489,20,469
528,40,488
847,330,517
1106,429,677
1227,567,660
1121,841,280
1675,976,699
806,763,43
734,650,84
567,560,7
378,262,116
683,356,327
1369,693,676
1176,995,181
1523,565,958
1580,817,763
717,344,373
393,300,93
749,375,374
1424,439,985
704,381,323
1124,574,550
1068,818,250
724,443,281
1308,380,928
1005,279,726
1707,981,726
1372,798,574
1112,589,523
1364,789,575
1307,483,824
1570,796,774
812,100,712
1047,221,826
646,642,4
1561,882,679
1915,937,978
1054,195,859
1788,945,843
503,458,45
1059,756,303
326,1,325
1474,797,677
1261,606,655
18,1,17
1798,826,972
1625,747,878
1491,923,568
143,121,22
1347,476,871
485,39,446
1518,791,727
1318,607,711
1055,89,966
1609,683,926
901,81,820
1065,429,636
1347,632,715
737,315,422
1693,720,973
1100,522,578
135,84,51
1494,776,718
941,507,434
1208,927,281
1388,770,618
892,689,203
818,127,691
840,518,322
551,53,498
1066,339,727
1328,619,709
1078,430,648
1747,962,785
887,333,554
917,421,496
1322,886,436
1276,357,919
1211,903,308
1101,154,947
637,19,618
1649,946,703
721,575,146
734,4,730
173,102,71
1627,959,668
1862,984,878
1057,640,417
912,843,69
1157,850,307
658,312,346
894,877,17
424,62,362
387,128,259
383,362,21
624,418,206
917,355,562
974,639,335
533,253,280
999,325,674
1068,152,916
871,539,332
1011,394,617
993,40,953
980,865,115
1150,779,371
693,524,169
859,306,553
789,652,137
730,706,24
959,402,557
929,109,820
1386,676,710
891,221,670
307,166,141
999,687,312
1280,797,483
963,939,24
553,312,241
1172,510,662
1737,979,758
1364,403,961
1366,553,813
977,296,681
1219,259,960
1286,450,836
892,464,428
1041,692,349
1146,802,344
612,331,281
700,510,190
1635,805,830
504,116,388
1669,873,796
550,296,254
559,466,93
1507,663,844
1357,702,655
854,35,819
1257,606,651
486,84,402
1019,689,330
1452,623,829
920,831,89
1016,30,986
394,355,39
911,717,194
726,673,53
807,172,635
463,315,148
480,12,468
1597,605,992
362,306,56
440,9,431
1076,215,861
536,393,143
1900,946,954
489,102,387
938,723,215
850,800,50
1561,748,813
791,774,17
1530,567,963
293,240,53
558,79,479
350,303,47
522,350,172
1382,960,422
1087,143,944
1317,441,876
1478,551,927
231,176,55
1833,995,838
1746,992,754
511,388,123
972,116,856
1152,923,229
1097,399,698
337,98,239
404,4,400
1171,209,962
541,70,471
396,26,370
274,103,171
886,104,782
677,305,372
883,27,856
253,219,34
385,65,320
982,748,234
935,410,525
1397,636,761
1102,896,206
830,714,116
958,924,34
1135,973,162
965,216,749
434,115,319
910,671,239
449,236,213
608,299,309
724,32,692
1062,149,913
233,80,153
175,129,46
1737,921,816
1531,751,780
954,680,274
1680,881,799
891,46,845
1418,478,940
1655,915,740
996,356,640
1501,545,956
1187,252,935
649,441,208
937,107,830
703,414,289
946,621,325
1091,534,557
215,29,186
528,262,266
1360,414,946
52,12,40
1348,530,818
1111,765,346
1290,951,339
606,111,495
1415,507,908
1651,671,980
1173,520,653
1003,284,719
567,307,260
1136,831,305
738,39,699
1138,175,963
985,650,335
1545,680,865
1412,644,768
62,45,17
920,745,175
995,451,544
1306,727,579
1281,579,702
579,388,191
1028,524,504
1545,716,829
1033,149,884
454,14,440
1400,920,480
999,700,299
961,751,210
708,61,647
1065,599,466
1117,814,303
1584,763,821
727,341,386
791,701,90
1638,970,668
1043,858,185
19,18,1
771,556,215
1610,638,972
591,455,136
875,578,297
1476,984,492
1221,677,544
1427,969,458
1540,624,916
1359,495,864
1136,690,446
1361,500,861
1493,691,802
1600,668,932
552,272,280
681,142,539
1005,198,807
1145,400,745
1526,668,858
907,696,211
196,78,118
1569,707,862
1470,929,541
522,522,0
338,136,202
1554,840,714
1297,456,841
1303,659,644
1710,826,884
1680,724,956
430,386,44
869,83,786
260,66,194
1199,491,708
650,201,449
939,313,626
210,148,62
822,323,499
222,131,91
1075,797,278
945,565,380
761,549,212
979,183,796
873,552,321
1349,935,414
1682,739,943
293,35,258
1021,367,654
974,42,932
1349,398,951
1864,879,985
1463,581,882
1114,426,688
1966,997,969
355,62,293
1285,783,502
543,363,180
440,100,340
1007,674,333
1874,944,930
1094,94,1000
1542,633,909
1626,946,680
444,218,226
1189,897,292
793,661,132
926,168,758
967,544,423
696,287,409
1378,811,567
960,725,235
652,300,352
1656,678,978
1020,675,345
1224,551,673
1309,775,534
394,42,352
1384,915,469
923,789,134
1385,469,916
712,616,96
908,470,438
709,164,545
484,337,147
